Symbol,MGI_ID
CSNK2A1-PS2,88545
CSNK2A2,88547
CSNK2B,88548
CSRP1,88549
CTLA2A,88554
CTLA2B,88555
CTLA4,88556
PCYT1A,88557
CTRL,88558
CTRB1,88559
CTSB,88561
CTSD,88562
CTSG,88563
CTSL,88564
CTXN1,88566
CUX1,88568
CYBB,88574
CYCS,88578
CYCT,88579
CYP11A1,88582
CYP11B1,88583
CYP11B2,88584
CYP17A1,88586
CYP19A1,88587
CYP1A1,88588
CYP1A2,88589
CYP1B1,88590
CYP21A1,88591
CYP24A1,88593
CYP27A1,88594
CYP2A4,88596
CYP2A5,88597
CYP2B10,88598
CYP2B13,88599
CYP2B9,88600
CYP2D10,88602
CYP2D11,88603
CYP2D12,88604
CYP2D13,88605
CYP2D9,88606
CYP2E1,88607
CYP2F2,88608
CYP3A11,88609
CYP3A13,88610
CYP4A10,88611
CYP4A12A,88612
CCN1,88613
REEP3,88930
APON,88931
DCAF11,90168
DHRS4,90169
D17H6S53E,90673
VARS,90675
LSM2,90676
D1PAS1,91842
DCAF8,91860
CSDE1,92356
SERP1,92638
ADIPOR2,93830
LRRC32,93882
NUDT19,94203
OAF,94852
DAO,94859
PPP1R1B,94860
SLC6A3,94862
DBH,94864
DBI,94865
DBP,94866
DBX1,94867
DCC,94869
ECI1,94871
DCN,94872
PCBD1,94873
DDC,94876
DEFA29,94881
DEFA2,94882
DEFA3,94883
DES,94885
DHFR,94890
DHH,94891
CYB5R3,94893
DIO1,94896
DLK1,94900
DLX1,94901
DLX2,94902
DLX3,94903
DLX4,94904
DMPK,94906
DMWD,94907
DMD,94909
DMP1,94910
DNMT1,94912
DPEP1,94917
DPP4,94919
DPP6,94921
DRD2,94924
DRD3,94925
DRD4,94926
DRD5,94927
DSG1A,94930
DVL1,94941
SLC10A3,95048
UBL4A,95049
EBF1,95275
EPHA7,95276
EPHA2,95278
ECT2,95281
EDN1,95283
EDN2,95284
EDN3,95285
EED,95286
EEF2,95288
EGF,95290
KLK1B22,95291
KLK1B9,95293
EGFR,95294
EGR1,95295
EGR2,95296
EIF1A,95298
EIF2S1,95299
EIF2B4,95300
EIF3A,95301
EIF4A1,95303
EIF4B,95304
EIF4E,95305
EIF5,95309
CELA1,95314
CELA2A,95316
ELN,95317
EMB,95321
EMX1,95387
EMX2,95388
EN1,95389
EN2,95390
ENG,95392
ENO1,95393
ENO2,95394
ENO3,95395
EPB41,95401
EPB42,95402
STOM,95403
EPHX1,95405
EPO,95407
EPOR,95408
ERBB2,95410
ERBB3,95411
ERCC1,95412
ERCC2,95413
ERCC3,95414
ERG,95415
CES1C,95420
ESD,95421
CES1E,95432
SMARCAD1,95453
ETL4,95454
ETS1,95455
ETS2,95456
MECOM,95457
EVI2A,95458
ZFP521,95459
EVX1,95461
EVX2,95462
F8A,95474
FABP3,95476
FABP2,95478
FABP1,95479
FANCC,95480
PTK2,95481
FAH,95482
FAS,95484
FASN,95485
FBL,95486
FBLN1,95487
FBLN2,95488
FBN1,95489
FBN2,95490
FBP2,95491
FBP1,95492
FCER1A,95494
MS4A2,95495
FCER1G,95496
FCER2A,95497
FCGR1,95498
FCGR2B,95499
FCGR3,95500
FECH,95513
FES,95514
FGF1,95515
FGF2,95516
FGF3,95517
FGF4,95518
FGF5,95519
FGF6,95520
FGF7,95521
FGFR1,95522
FGFR2,95523
FGFR3,95524
FGFR4,95525
FGG,95526
FGR,95527
FH1,95530
CCN2,95537
FKBP1A,95541
FKBP2,95542
FKBP4,95543
FOXS1,95546
FLG,95553
FLI1,95554
FLNA,95556
FLNC,95557
FLT1,95558
FLT3,95559
FLT3L,95560
FLT4,95561
FMR1,95564
FN1,95566
FOLR1,95568
FOLR2,95569
FOS,95574
FOSB,95575
FPGS,95576
FSHB,95582
FSHR,95583
CIDEC,95585
FST,95586
FTH1,95588
FTL1,95589
FTL2-PS,95590
FUCA1,95593
FUT4,95594
FV1,95595
FYN,95602
XRCC6,95606
G6PC,95607
GAA,95609
GABPA,95610
GABPB1,95611
GABPB2,95612
GABRA1,95613
GABRA2,95614
GABRA3,95615
GABRA4,95616
GABRA5,95617
GABRA6,95618
GABRB1,95619
GABRB2,95620
GABRB3,95621
GABRD,95622
GABRG2,95623
GABRG3,95624
GABRR1,95625
GABRR2,95626
SLC6A1,95627
SLC6A12,95628
SLC6A13,95629
SLC6A11,95630
GAD1,95632
GAD1-PS,95633
GAD2,95634
GALC,95636
GAL,95637
GALT,95638
GAP43,95639
GAPDH,95640
GAPDHS,95653
GART,95654
GAS1,95655
GAS2,95657
GAS5,95659
GAS6,95660
GATA1,95661
GATA2,95662
GATA3,95663
GATA4,95664
GBA,95665
GBP2B,95666
GBX1,95667
GBX2,95668
GC,95669
GCG,95674
GCH1,95675
GCNT1,95676
GDA,95678
GPD1,95679
GDF1,95683
GDF10,95684
GDF3,95686
GDF5,95688
GDF6,95689
GDF7,95690
MSTN,95691
GDF9,95692
GFAP,95697
GFPT1,95698
GGCT,95700
GGTA1,95704
B4GALT1,95705
GGT1,95706
GH,95707
GHR,95708
GHRH,95709
GHRHR,95710
GPR83,95712
GJA1,95713
GJA3,95714
GJA4,95715
GJA5,95716
GJA6,95717
GJC1,95718
GJB1,95719
GJB2,95720
GJB3,95721
GJB4,95722
GJB5,95723
GLI1,95727
GLI2,95728
GLI3,95729
GALK1,95730
GLUL,95739
